name,alias,address,neighborhood,borough,begin_date,end_date,main1980s,mainSubcat,description,source,authors,sourceHyperlink
Artists Space (duplicate entry),,38 Greene Street,,,,late 1970s,,,"â€œQuite appropriately, what would later be called No Wave was inaugurated, not at a CBGBâ€™s-style seedy bar, but at Artists Space, a not-for-profit â€˜alternativeâ€™ gallery site in SoHo. . . [at] a five-day festival featuring relatively unknown local bands . . . Teenage Jesus and the Jerks (led by Lydia Lunch), James Chance and the Contortions, DNA (led by Arto Lindsey), Mars, Theoretical Girls (led by Glenn Branca), and the Gynecologists (including Rhys Chatham).â€ù Gendron2006:57. Cf. Fensterstock2013:43.","Gendron, Bernard. â€œThe Downtown Music Scene.â€ù In Marvin Taylor, ed., The Downtown Book: The New York Art Scene, 1974-1984, 41-64. Princeton, N.J.: Princeton University Press, 2006.",TB,
Artmart,,534 East Sixth Street,,,,,,,[TB: no source found],,,
Axis,M. Elson Gallery,463 West Broadway,,,,,,,"""Axis in SoHo, housed in the same West Broadway premises as the Marvin Elson Gallery, favored free jazz such as Sun Ra and Paul Bley. Lacking a liquor license, it charged four bucks admission and sold capuccino, juice, and cheesecake."" Kostelantez2015: 133.","Kostelanetz, Richard. Artists' SoHo: 49 Episodes of Intimate History. New York: Fordham University Press, 2014.",TB,http://site.ebrary.com/lib/nyulibrary/reader.action?docID=10994777#
Astor Playhouse,,434 Lafayette Street,,,,,,,"Site for experimental music, film, and improvisational dance and music in early 1960s. ""[Thursday, Augus 19, 1965]: Angus MacLise and former Primitive Walter DeMaria provide the soundtrack for a multimedia event featuring dancers upon which scenes from Jack Smith's Normal Love are projected."" Unterberger2009:55. Cf. Goldman2010:61.","Unterberger, Richie. White Light/White Heat: The Velvet Underground Day by Day. London: Jawbone Press, 2009; Goldman, Danielle. I Want to be Ready: Improvised Dance as the Practice of Freedom. Ann Arbor: University of Michigan Press, 2010.",TB,
Avant-Garde Festival,,,,,1963,,,,"Charlotte Moorman's annual festival for experimental music and performance, various venues (Central Park, Shea Stadium, Grand Central, Staten Island Ferry); first one was at Judson Memorial Church (1963). ",,,
Avenue B Gallery,,167 Avenue B,,,,,,,"See: Rosati, Lauren. Alternative Histories: New York Art Spaces, 1960 to 2010. Cambridge, Mass.: MIT Press, 2012.",,,
B-Side,,534 East Sixth Street,,,,,,,"â€œIn addition to the many graffiti memorials to the neighborhood's casualties by Chico Garcia, art studios and galleries also line the blocks east of Avenue A: some remain mysterious, like the message on the doorways marked with words like â€˜reactâ€™, and the neighborhood vehicle topped with the sign â€˜artists at large.â€™ Others range from boundary-pushing East Village art at the B-Side Gallery on Sixth Street to multicultural art at the Wilmer Jennings Gallery on Second Street to group projects by children and community members at K.O.A.P. on 11th Street. If there's anything that links this community together, it's something invisible: radio waves. The Lower East Side may be the only neighborhood with its own pirate radio station, called Steal This Radio, at 88.7-FM.â€ù Strauss2016.","STRAUSS, NEIL. â€œLife Beyond Avenue A.â€ù New York Times (September 6, 1996). Accessed August 10, 2016, http://www.nytimes.com/1996/09/06/books/life-beyond-avenue-a.html?pagewanted=all.",TB,
The BAG,,236 East Third Street,,,,mid-1970s,,"Jazz loft, Jazz avant-garde",Performance loft set up by musicians originally from the St. Louis-based Black Artistsâ€™ Group. Gendron2006:49.,,TB,
The Balloon Farm,"Arlington Hall, The Dom, The Dom Restaurant, Electric Circus, Exploding Plastic Inevitable, Polish National Hall, Polish National Home, Polski Dom Narodwy, Stanley's Bar",19-25 Saint Marks Place (different accounts give different street numbers),,,1966,1971,,,"""In the late 1960s, 19-25 St. Mark's Place was the central destination for the new East Village . . . [a new name for a neighborhood] traditionally . . . considered part of the immigrant Lower East Side. (Andy Warhol called it 'Babushkaville.'). These buildings were home to three related, and overlapping music scenes: the Dom, the Electric Circus, and Warhol's Exploding Plastic Inevitable. In the 1880s, they had housed the German social organization called Arlington Hall; in the 1920s, the hall was bought by the Polish National Home as a public gathering space, bar, and restaurant. Then, in the 1960s, the bar was taken over by Stanley Tolkin, and the upstairs ballroom became a club called the Dom [taken from Polski Dom Narodwy (Polish National Home)] . . . known for its good jukebox and racially integrated crowd. Meanwhile, Stanley's Bar, downstairs, played host to bands like the Fugs. . . . In April 1966, Andy Warhol rented the building and completely restyled its interior. He installed a rotating, mirrored ball, resuscitating the long-dormant dance floor accessory that later would come to define the age of disco. When he was done . . . a month-long party began that he dubbed the Exploding Plastic Inevitable . . . [whose house band was the Velvet Underground]. Warhol soon took the party on the road. . . . When they returned to New York [in 1966], the Dom had become the Balloon Farm, which was soon transformed [in 1967] into the Electric Circus. . . In 1970, a small bomb went off on the dance floor and by 1971 it had closed."" Nevius2009:[n.p.]; The space pioneered lighting and projection effects and hosted early electronic music performances by Terry Riley and Morton Subotnick. Perpetua2016.","Nevius, Michelle and James Nevius. Inside the Apple: A Streetwise History of New York City. New York: Free Press, 2009; Perpetua, Matthew. â€œIconic New York City Music Venues, Then and Now.â€ù Buzzfeed (July 22, 2013). Accessed June 4, 2016, http://www.buzzfeed.com/perpetua/iconic-nyc-music-venues-then-and-now#.ekR58M4wk.",TB,
Bang on a Can Festival,"Bang on a Can, Bang on a Can Marathon","220 East Fourth Street, RAPP Arts Center",,,1987,,,,"""Inaugurated . . . in 1987 by composers Michael Gordon, Julia Wolfe, and David Lange. It began as a one-day event on the Lower East Side, with performances of works by Milton Babbitt, Steve Reich, and nineteen other American composers, and has grown into a phenomenon involving educational and multimedia events."" JenkinsFreeJazz2004:34.","Jenkins, Todd S. Free Jazz and Free Improvisation: An Encyclopedia, vol. 1. Westport, Conn.: Greenwood Press, 2004.",TB,
Bang on a Can Festival,,"80 Hansen Place, Brooklyn Academy of Music",,Brooklyn,,,,,,,,
Bang on a Can Festival, ,"230 Vesey Street, Brookfield Place (formerly Winter Garden)",Lower Manhattan,,,2016,,,,"Cooper, Michael. â€œBang on a Can Marathon Loses Its Home.â€ù New York Times (April 8, 2016). Accessed June 7, 2016, http://artsbeat.blogs.nytimes.com/2016/04/08/bang-on-a-can-marathon-loses-its-home/?_r=0.",TB,
The Bar,Salon Saloon,13 East Third Street,,,1983,2006,,,"Note: it's unclear whether The Bar and Bill Rice's studio were one and the same. See http://www.francielyshak.com/Bar/pages/Francie.html. Bill Rice â€œwas perhaps best known as a legendary underground actor who appeared in â€˜Coffee and Cigarettesâ€™ with Taylor Mead. But he was first and foremost a painter, then a photographer, sculptor, filmmaker and historian, who was a fixture in the avant-garde art world for over 30 years. . . . Rice was involved in numerous theatric productions with Jim Neu and Gary Indiana, moving on to do experimental films with Scott and Beth B, Jacob Burckhardt, Jim Jarmusch, Gary Goldberg, Amos Poe and Robert Frank. . . . As Rice continued acting, he showed his work at the Brooklyn Terminal Arts Show in 1983 and began receiving recognition for his paintings. During that period he hosted at his studio a mix of artists, like Barbara Ess, Richard Morrison, Mark Tambella and Francie Lyshak, and referred to his studio as the â€˜Saloon Salon.â€™ . . . Many of Riceâ€™s paintings were homoerotic. . . . During a period of 20 years Rice helped scholar Ulla E. Dydo sift through original notebooks by Gertrude Stein to compile â€˜A Stein Reader,â€™ published in 1993, and â€˜Gertrude Stein: The Language That Rises, 1923-1934,â€™ published in 2003. . . . Rice also collaborated with writers Rene Ricard and David Wojnarowicz.â€ù LevinObituary2006.","Levin, Sara G. â€œObituary: Bill Rice, 74, Cult Film Actor, Artist and Writer.â€ù Villager vol. 75, no. 37 (February 1-7, 2006). Accessed June 7, 2016, http://thevillager.com/villager_144/billrice74.html.",TB,
bar shooting right wing minister from westchester preys or epis,,,,,,,,,[TB: ask Marvin],,,
Betsey Johnson,,,,,,,,,[TB: from Marvin & Sana -- this might refer to downtown boutique Paraphernalia],,,
The Binibon,,79 Second Avenue,,,,1981,,,"Closed after its owner was shot there by Norman Mailer protege in 1981. â€œThe Binibon was a cafe and 24-hour hangout . . .  a nexus for artists, musicians, neighborhood characters and bohemians true and faux. . . . Typical guests at the Binibon might include various No Wavers and Lounge Lizards; bebopper Jimmy Lovelace and free-jazz gypsy Don Cherry; Jean-Michel Basquiat; William Burroughs; Quentin Crisp; Kid Creole, Coatamundi, and Coconuts; Johnny Thunders; Keith Haring; Allen Ginsberg; Liquid Liquid; avant-garde filmmakers, actors and directors famous and non-. . . . Jack Henry Abbott was a talented writer, as well as an imprisoned killer who became the protege of author Norman Mailer who helped sponsor his release into a halfway house on 3rd Street. . . .  I [Elliott Sharp] was in the Binibon that summer night in 1981 after a gig and left just as Abbott was entering with his entourage and found out about the murder a few hours later.â€ù SharpBinibon2016.","Sharp, Elliott. Liner notes to Binibon (zOaR Music-BMI, 2009). Accessed June 4, 2016, http://www.henceforthrecords.com/catalog/binibon/.",TB,
